pdb_id,uniprot_id,asd90,allosite,passer_ensemble,allo,allositepro,allopred,passer_automl,passer_rank
3QEL,Q00960,True,True,True,True,True,True,False,False
3QEM,Q00960,False,False,False,False,False,False,True,True
3QH0,Q05769,False,False,False,True,True,True,False,False
3QOP,P0ACJ8,False,False,False,True,True,True,False,False
3R1R,P00452,False,False,False,False,True,True,False,False
3RZ3,P49427,True,True,True,False,False,False,True,True
3S8A,P21524,False,False,False,False,False,False,True,True
3SMQ,O60678,False,False,False,False,False,False,True,True
3THO,Q9X1X1,False,False,False,False,False,False,True,True
3TUV,P35559,False,False,False,False,False,False,True,True
3UMO,P06999,False,False,False,False,False,False,True,True
3UO9,O94925,True,True,True,True,True,True,False,False
3VP2,O94925,False,False,False,False,False,False,True,True
3VQ8,Q72498,False,False,False,True,True,False,False,False
3ZCW,P52732,False,False,False,True,True,False,False,False
3ZFZ,A0A0H3JPA5,False,False,False,False,False,False,True,True
3ZG1,P37975,False,False,False,False,False,False,True,True
3ZLK,Q9HU22,True,True,True,False,False,False,False,False
3ZM9,P35790,False,False,False,False,False,False,True,True
4A7A,P27338,False,False,False,False,False,False,True,True
4A7W,P56106,False,False,False,False,False,False,True,True
4AHS,P12497,False,False,False,True,True,True,False,False
4AQH,P05121,False,False,False,False,False,False,True,True
4AVB,O05581,True,True,True,False,False,False,True,True
4AW0,O15530,False,False,False,False,True,True,False,False
4B1F,Q9ZLT0,False,False,False,True,True,False,False,False
4B2D,P14618,False,False,False,False,True,False,False,False
4B76,P26663,False,False,False,False,False,False,True,True
4B9Q,P0A6Y8,True,True,True,False,False,False,True,True
4BBG,P52732,False,False,False,True,True,True,False,False
4BNY,O54438,False,False,False,False,False,False,True,True
4BO2,O54438,False,False,False,False,True,True,False,False
4BQH,Q386Q8,False,False,False,True,True,True,True,True
4BXH,P30694,False,False,False,False,False,False,True,True
4BZB,Q9Y3Z3,False,False,False,False,True,True,False,False
4C7B,Q9NTG7,False,False,False,True,True,True,True,True
4CEV,P53608,False,False,False,False,False,False,True,True
4CFE,P54646,False,False,False,False,True,False,False,False
4DFZ,P05132,False,False,False,False,False,False,True,True
4E6C,Q16539,False,False,False,False,True,True,False,False
4EAJ,P80385,False,False,False,True,True,True,True,True
4EBW,Q05397,False,False,False,True,True,True,False,False
4EJ8,P12499,False,False,False,True,True,False,False,False
4EJN,P31749,False,False,False,False,False,False,True,True
4EO6,P26663,False,False,False,True,True,False,False,False
4ETZ,Q9HZE7,False,False,False,True,True,True,False,False
4EU0,Q9HZE7,False,False,False,False,False,False,True,True
4FC0,P15056,False,False,False,False,False,False,True,True
4FXY,P42676,False,False,False,False,False,False,True,True
4G1N,P14618,False,False,False,False,True,False,False,False
4G8O,P05121,False,False,False,True,True,True,False,False
4GQQ,P04746,False,False,False,False,False,False,True,True
4HNN,D7U7T8,False,False,False,False,False,False,True,True
4HSG,O60678,False,False,False,True,True,True,False,False
4I1R,Q9UDY8,False,False,False,True,True,True,True,True
4I4F,Q05397,False,False,False,False,False,False,True,True
4I89,P02766,False,False,False,False,False,False,True,True
4IG3,P03366,False,False,False,True,True,False,False,False
4IO8,P0DMV8,False,False,False,True,True,True,False,False
4JA8,P48735,False,False,False,True,True,True,True,True
4JAF,P0ABH7,False,False,False,True,True,True,True,True
4KE5,P26663,False,False,False,False,False,False,True,True
4KFB,P03366,False,False,False,True,True,True,False,False
4KKO,P03366,False,False,False,True,True,False,False,False
4KZT,Q0ASS9,False,False,False,False,False,False,True,True
4LUC,P01116,False,False,False,False,False,False,True,True
4M0Z,Q08881,False,False,False,False,False,False,True,True
4M1P,A4INJ9,False,False,False,False,False,False,True,True
4MBS,P51681,False,False,False,True,True,True,True,True
4MDK,P49427,False,False,False,False,True,True,False,False
4MRA,P00489,False,False,False,False,True,True,False,False
4NBN,P55212,False,False,False,True,True,True,False,False
4NIR,Q81VW8,False,False,False,False,False,False,True,True
4NLD,Q9WMX2,False,False,False,True,True,False,False,False
4OHF,Q5ZZB6,False,False,False,False,False,False,True,True
4OO9,P41594,False,False,False,False,True,True,False,False
4OP0,I6YFP0,False,False,False,False,False,False,True,True
4OR2,P0ABE7,False,False,False,False,False,False,True,True
4OYI,Q96PN6,False,False,False,False,False,False,True,True
4P3H,Q2HRB6,False,False,False,True,True,True,True,True
4P9D,H6WFU3,False,False,False,False,False,False,True,True
4Q0A,Q9PTN2,False,False,False,False,False,False,True,True
4Q9M,Q8DRB3,False,False,False,False,False,False,True,True
4QFX,Q9Y3Z3,False,False,False,False,False,False,True,True
4QPL,P51668,False,False,False,False,False,False,True,True
4QSK,False,False,False,False,False,False,False,True,True
4RUT,Q05769,False,False,False,False,False,False,True,True
4TPT,P53671,False,False,False,False,False,False,True,True
4TQC,P06730,False,False,False,False,False,False,True,True
4TVG,Q90EA1,False,False,False,False,False,False,True,True
4UUU,P35520,False,False,False,False,False,False,True,True
6DHM,P00366,False,False,False,True,True,False,False,False
